feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
29.89,5.0,C,1249.59,No,7,4.95,1
,0.0,A,1430.39,No,2,82.01,0
31.39,61.0,C,975.04,No,4,66.6,1
25.86,5.0,C,615.97,Yes,4,37.57,0
38.45,10.0,A,1240.09,Yes,1,7.87,0
37.85,65.0,A,,No,9,35.18,0
24.59,77.0,A,1013.76,Yes,7,10.66,1
25.47,8.0,A,730.5,Yes,3,31.8,0
,1.0,B,1058.21,Yes,9,11.73,0
27.75,33.0,A,1153.39,Yes,7,22.35,1
29.3,21.0,B,601.8,No,9,1.0,1
34.94,97.0,A,384.36,Yes,6,0.49,1
,43.0,A,1192.7,No,5,1.36,1
35.8,50.0,C,1286.27,No,4,2.58,1
22.58,23.0,B,695.58,Yes,9,11.92,0
22.69,64.0,A,1160.09,No,2,1.03,0
31.11,60.0,C,804.64,No,3,18.08,0
30.36,84.0,C,818.03,Yes,6,7.37,1
33.83,25.0,B,1806.86,No,3,4.24,0
31.07,5.0,C,499.11,Yes,4,4.0,0
43.93,47.0,C,745.16,No,3,15.48,0
33.05,58.0,A,982.06,Yes,4,3.01,0
26.36,44.0,A,936.34,No,2,3.13,0
29.21,49.0,C,1352.31,No,9,2.29,0
,88.0,A,1503.53,Yes,7,16.9,0
30.95,80.0,B,815.96,Yes,3,14.96,0
,37.0,A,896.24,No,5,10.75,0
25.89,,A,507.21,No,7,7.87,1
26.4,60.0,B,949.26,Yes,1,5.76,0
37.0,71.0,A,675.59,No,4,1.52,1
29.13,82.0,B,,No,1,30.19,0
32.15,98.0,C,1354.79,Yes,3,65.7,1
32.29,94.0,B,1140.82,Yes,2,3.77,0
32.99,37.0,A,651.66,Yes,7,30.1,1
31.17,65.0,A,1226.97,No,2,25.9,1
22.49,94.0,B,1167.3,No,5,34.19,0
19.54,82.0,A,918.12,Yes,2,4.24,1
33.86,34.0,B,1299.42,No,9,51.89,0
26.34,76.0,A,793.13,No,1,9.66,1
30.04,54.0,A,,Yes,2,16.86,0
34.57,4.0,A,1003.23,Yes,7,41.57,1
16.81,80.0,A,970.14,Yes,8,,0
31.31,2.0,B,1535.37,No,5,,1
30.29,19.0,A,1159.61,Yes,4,4.21,1
34.38,46.0,B,1531.53,Yes,7,17.58,0
30.76,71.0,C,537.76,No,8,1.27,1
31.0,94.0,A,940.33,Yes,4,5.36,0
35.52,41.0,B,1150.06,Yes,7,37.97,0
24.81,54.0,A,1121.34,Yes,2,17.94,0
31.65,46.0,A,584.73,Yes,5,7.19,0
25.39,32.0,C,882.89,Yes,9,71.97,0
19.89,,B,754.42,No,4,25.73,0
32.23,53.0,A,1096.78,No,2,20.42,0
32.86,31.0,C,926.78,No,8,2.26,0
30.62,17.0,A,854.49,No,9,65.95,1
27.12,94.0,A,1125.46,No,5,13.41,1
24.15,,C,772.32,Yes,7,43.96,0
29.61,72.0,A,798.64,No,8,12.48,0
38.22,42.0,B,,No,6,13.87,0
30.02,99.0,B,896.29,Yes,1,49.65,1
30.41,8.0,C,970.88,No,6,16.8,0
27.03,60.0,A,687.69,No,2,,1
19.44,41.0,C,808.24,Yes,5,6.96,1
33.73,30.0,B,845.98,No,1,2.73,1
33.73,5.0,A,1564.89,Yes,5,12.87,0
39.15,52.0,A,940.69,No,4,15.89,1
31.98,48.0,B,1306.95,Yes,4,,0
34.06,46.0,A,1231.68,No,8,38.49,1
32.47,63.0,B,,Yes,2,11.58,0
25.65,38.0,C,1437.49,Yes,3,33.11,1
22.18,28.0,A,,No,4,,1
28.28,57.0,A,495.42,Yes,9,28.22,1
37.76,37.0,C,1266.16,No,2,3.66,0
31.37,28.0,A,909.45,Yes,4,21.5,1
30.16,17.0,A,706.63,Yes,1,3.05,0
35.63,80.0,C,900.36,No,2,2.95,0
35.25,19.0,B,1255.89,No,3,29.46,1
27.06,57.0,B,1388.1,No,7,3.64,0
24.65,59.0,A,932.1,Yes,6,54.03,0
28.03,69.0,C,745.92,Yes,4,,1
28.24,78.0,C,1084.33,Yes,2,60.45,0
,46.0,C,730.36,Yes,9,4.59,0
38.7,40.0,C,827.8,No,1,6.21,0
22.33,56.0,C,660.27,Yes,2,14.46,0
29.96,3.0,A,875.91,No,2,6.2,0
,82.0,A,1103.02,No,6,12.75,0
28.87,33.0,B,1166.55,Yes,7,22.53,0
35.06,69.0,C,828.12,No,5,17.36,1
37.27,,C,967.91,Yes,6,44.82,0
,14.0,C,1440.22,No,1,0.85,1
26.47,26.0,B,442.73,No,6,14.62,0
39.26,76.0,C,1122.84,Yes,1,,0
30.12,12.0,B,813.28,Yes,6,20.35,1
30.92,30.0,B,1045.16,Yes,8,14.34,0
32.18,48.0,A,1080.37,No,3,49.69,0
30.22,88.0,B,1408.98,Yes,8,1.68,0
37.95,3.0,A,1530.47,Yes,9,9.84,0
29.69,94.0,B,1238.5,No,2,5.68,0
22.09,73.0,C,677.26,Yes,1,24.98,1
24.98,46.0,C,849.93,Yes,2,17.05,0
29.41,30.0,A,927.4,Yes,2,29.24,0
35.86,11.0,C,973.47,No,1,3.78,1
26.03,16.0,C,758.27,No,6,7.04,0
39.04,45.0,B,695.64,No,4,28.1,0
28.69,45.0,A,1104.21,Yes,4,10.51,1
32.0,10.0,A,777.2,Yes,6,47.19,0
37.56,33.0,B,951.28,No,2,7.09,0
33.49,27.0,B,983.89,No,8,1.66,1
29.82,48.0,C,693.84,Yes,2,10.8,0
27.54,25.0,C,1137.04,Yes,7,34.81,1
,63.0,C,1193.41,No,3,52.49,0
34.15,48.0,C,1483.46,Yes,9,21.23,1
33.11,36.0,B,1203.63,Yes,4,17.17,0
33.1,92.0,A,,Yes,7,0.03,0
31.17,17.0,B,1107.45,No,2,38.77,1
,13.0,A,907.7,Yes,4,9.69,1
34.95,85.0,B,578.52,No,8,10.21,0
28.27,68.0,B,842.64,Yes,8,7.14,0
28.15,19.0,B,887.46,Yes,1,,0
26.05,1.0,C,1005.69,Yes,1,20.25,1
33.15,97.0,C,755.92,Yes,7,12.45,0
38.46,72.0,C,935.02,No,7,13.05,0
26.47,18.0,B,1315.37,Yes,9,38.45,0
39.48,99.0,B,831.69,No,1,77.68,1
31.2,21.0,C,1109.75,Yes,8,18.25,0
34.53,16.0,B,1041.16,No,5,20.37,0
31.07,26.0,C,1062.77,No,6,40.15,0
18.42,84.0,C,9227.2,No,5,13.67,1
28.8,43.0,A,1116.23,Yes,7,10.39,1
,49.0,B,590.6,No,6,8.51,1
27.88,58.0,A,1322.91,No,2,26.85,0
,28.0,C,1087.64,Yes,5,,1
27.76,19.0,A,931.59,No,5,20.41,0
22.79,5.0,B,811.56,Yes,2,,0
29.58,42.0,A,1035.04,No,8,55.67,0
37.83,29.0,C,1006.0,No,4,12.41,0
24.92,55.0,B,816.55,No,9,34.46,1
31.35,12.0,A,914.04,No,7,11.43,0
35.24,19.0,A,294.15,No,5,22.65,1
30.31,35.0,B,1168.5,Yes,1,88.87,1
33.14,58.0,C,961.19,No,2,42.42,0
32.44,82.0,B,1251.25,No,2,3.84,0
28.67,88.0,C,1009.21,No,6,62.18,0
31.76,40.0,A,1178.47,No,8,1.69,0
32.02,23.0,A,,No,2,15.37,0
33.38,81.0,C,492.13,No,1,17.26,1
31.1,47.0,C,618.71,No,9,3.2,1
23.33,89.0,A,511.16,Yes,7,23.26,0
19.74,,B,1517.92,No,5,0.98,0
30.67,91.0,C,1568.75,Yes,1,1.77,0
,74.0,A,951.87,No,1,12.68,0
33.35,68.0,B,751.33,Yes,1,10.37,0
33.46,71.0,A,850.52,No,9,36.23,0
27.79,55.0,B,903.3,Yes,9,9.33,1
27.35,74.0,C,1376.41,No,4,1.22,0
30.06,14.0,A,878.04,No,3,1.37,0
26.45,9.0,A,758.04,No,6,17.3,0
30.1,24.0,A,1630.74,Yes,1,20.27,0
26.94,18.0,B,,Yes,2,17.64,1
29.48,8.0,C,588.66,No,4,40.23,1
28.23,94.0,B,951.05,No,3,33.15,1
28.37,75.0,B,535.1,No,6,,1
28.98,80.0,C,254.71,Yes,8,,0
,82.0,A,1040.39,Yes,4,3.78,1
28.86,20.0,B,1296.86,Yes,4,5.45,0
33.61,34.0,B,1059.69,Yes,1,16.02,0
27.73,22.0,A,1450.37,Yes,2,3.22,0
24.94,17.0,B,1426.23,No,9,,0
26.49,82.0,A,897.27,No,1,1.72,1
32.34,,A,1081.75,Yes,5,21.5,1
35.59,31.0,B,1462.23,Yes,2,31.3,0
22.5,65.0,A,1330.97,Yes,8,17.35,1
42.68,0.0,C,990.56,Yes,5,38.84,1
22.12,68.0,B,994.03,Yes,5,49.12,0
23.35,1.0,A,673.27,No,4,34.38,1
29.62,54.0,A,718.54,No,6,11.82,1
29.36,14.0,C,783.59,Yes,8,7.92,0
29.94,44.0,A,1328.47,No,3,29.61,0
39.4,60.0,B,663.72,No,3,22.36,0
23.19,33.0,A,862.43,No,9,33.51,1
26.74,14.0,B,532.17,No,4,13.5,0
29.28,58.0,A,951.61,No,2,20.48,0
39.1,12.0,C,1035.61,Yes,9,12.25,1
34.62,4.0,A,791.47,No,6,7.96,1
29.45,96.0,A,1039.64,No,9,83.5,0
26.93,16.0,B,199.57,No,3,16.3,0
,36.0,B,,Yes,8,27.47,0
32.72,55.0,C,1155.56,Yes,6,3.08,1
27.98,69.0,A,1224.99,Yes,7,0.35,0
23.23,,A,1024.81,Yes,7,34.14,0
32.97,56.0,B,1213.83,No,8,2.13,1
36.12,18.0,C,525.0,Yes,2,11.05,0
17.4,54.0,C,934.29,No,1,2.56,0
30.59,5.0,C,1104.59,Yes,8,16.88,0
24.18,20.0,B,1084.88,No,2,36.03,0
26.16,44.0,B,956.49,No,7,15.98,1
31.45,8.0,A,914.1,No,5,20.02,0
27.91,57.0,B,1379.41,No,1,17.08,0
32.42,89.0,C,1661.2,Yes,3,6.48,1
33.8,64.0,B,583.75,Yes,7,17.04,0
26.18,58.0,C,1140.43,Yes,8,20.67,0
28.16,24.0,B,916.07,Yes,6,,1
37.6,40.0,A,652.57,No,7,5.77,0
36.92,39.0,B,948.64,No,2,52.57,0
30.77,98.0,B,1219.35,No,5,57.76,1
21.42,63.0,B,1084.76,No,2,,0
28.61,73.0,A,1295.62,No,4,4.79,0
29.83,77.0,C,1440.4,Yes,1,22.89,1
20.92,26.0,B,1021.01,Yes,5,13.37,1
35.73,29.0,C,1528.1,Yes,1,9.89,0
,0.0,B,1041.4,No,2,2.28,0
25.33,66.0,C,890.29,No,1,0.22,1
38.38,66.0,A,1596.45,No,5,29.85,1
34.16,93.0,A,1407.79,Yes,4,11.21,0
33.86,66.0,C,572.05,No,8,17.46,1
29.27,67.0,B,739.98,No,9,0.78,0
31.25,91.0,A,1352.38,No,3,6.49,1
29.97,65.0,C,979.73,No,6,8.05,0
31.07,2.0,B,283.07,No,2,22.8,0
30.91,50.0,B,,No,8,2.4,1
30.86,25.0,B,1447.24,Yes,6,797.25,0
32.36,60.0,B,1214.89,Yes,7,9.73,1
25.6,51.0,C,918.47,No,7,309.45,0
37.0,9.0,C,737.14,No,5,48.34,0
34.9,54.0,C,,No,2,49.87,0
33.19,40.0,C,547.79,Yes,3,37.95,0
22.77,94.0,A,748.64,No,5,,1
36.39,66.0,A,834.49,No,7,22.87,0
27.31,70.0,A,1444.09,No,2,0.59,1
35.09,28.0,B,549.14,No,3,0.74,1
38.77,97.0,C,718.32,Yes,3,20.42,0
23.46,24.0,C,890.57,No,9,6.73,0
32.13,52.0,B,1202.06,No,8,20.88,0
32.28,17.0,C,1252.03,No,2,17.06,0
32.99,74.0,B,995.85,No,1,21.86,1
27.93,53.0,B,881.06,Yes,3,5.96,1
33.27,33.0,A,950.5,No,6,22.73,0
25.28,90.0,C,681.78,No,5,24.67,1
33.2,58.0,B,1224.57,Yes,3,8.29,0
29.77,90.0,A,906.88,No,5,15.16,0
33.06,49.0,C,1069.25,Yes,5,1.59,1
24.26,10.0,A,979.24,Yes,1,6.82,1
22.6,,A,792.78,Yes,9,17.14,1
38.78,10.0,A,717.28,Yes,8,15.43,0
37.64,29.0,A,437.78,Yes,6,4.53,1
26.02,60.0,A,271.36,Yes,3,74.81,0
,68.0,B,987.11,No,9,13.57,0
27.36,35.0,C,993.11,Yes,8,33.06,1
32.55,62.0,C,1622.64,Yes,5,4.37,0
27.45,60.0,C,817.12,No,5,61.08,1
27.19,16.0,A,1539.98,No,7,19.37,1
22.03,,C,9126.8,Yes,4,7.72,1
28.52,30.0,B,1108.29,No,7,8.9,0
25.83,22.0,A,905.86,No,2,7.91,1
36.92,98.0,A,890.93,No,1,10.69,1
25.64,97.0,B,1060.07,Yes,2,1.28,0
,22.0,B,923.94,No,6,56.85,0
30.78,95.0,C,1133.84,No,8,12.42,0
28.16,27.0,B,909.3,No,8,131.7,0
26.79,73.0,B,997.12,No,3,5.32,1
34.67,35.0,A,939.45,Yes,9,33.13,0
35.63,67.0,B,845.02,Yes,3,,1
45.59,,B,,Yes,1,,1
30.03,45.0,A,975.47,Yes,7,21.08,0
32.88,8.0,B,1331.6,Yes,5,0.36,1
31.43,23.0,B,705.95,Yes,5,0.22,1
19.23,80.0,A,1164.98,No,9,48.09,1
30.29,74.0,C,1131.15,No,7,35.12,0
33.02,66.0,A,1017.89,No,9,44.52,0
30.8,17.0,A,496.35,No,8,17.73,1
31.61,93.0,A,685.07,No,8,43.11,1
30.04,,C,864.69,Yes,8,36.2,0
22.13,19.0,C,1005.94,Yes,4,18.59,1
31.39,15.0,C,825.03,No,9,5.34,0
25.89,29.0,B,1143.99,No,7,10.17,0
,58.0,B,1107.02,No,4,10.16,1
24.72,54.0,B,842.69,No,8,6.67,1
31.47,93.0,A,1228.73,No,4,5.55,1
25.68,52.0,B,665.88,No,5,68.55,0
25.02,10.0,A,,No,6,16.94,0
30.52,59.0,C,776.24,No,4,20.59,1
28.84,51.0,A,274.51,Yes,7,21.21,0
27.21,,A,585.78,Yes,1,12.32,1
33.97,,A,759.15,Yes,8,3.09,0
31.96,79.0,B,1156.82,No,8,0.8,0
37.31,3.0,B,,No,8,13.31,1
37.67,91.0,A,1333.14,Yes,5,34.33,0
33.81,18.0,C,1247.71,No,9,31.04,0
29.34,17.0,C,1321.5,No,2,32.72,0
31.32,69.0,A,803.16,Yes,3,0.57,1
33.15,84.0,C,1108.57,No,6,23.14,1
29.72,55.0,A,1285.37,No,4,,1
33.64,46.0,C,,No,5,23.0,1
32.18,56.0,A,1032.29,No,8,4.12,0
29.84,30.0,C,873.84,Yes,3,3.05,1
42.38,97.0,B,1173.44,No,1,364.05,1
28.13,20.0,C,1144.67,Yes,5,23.95,0
32.4,2.0,C,719.63,No,7,21.61,0
36.24,95.0,C,855.9,Yes,1,6.02,1
30.88,35.0,A,841.06,Yes,2,10.55,0
27.67,83.0,B,773.23,No,1,49.85,0
26.86,37.0,C,1588.67,No,7,19.0,0
29.51,,B,1229.62,No,4,35.76,1
36.73,66.0,B,604.93,No,5,31.26,1
30.68,96.0,A,815.86,Yes,6,45.04,0
28.56,86.0,C,,No,6,3.25,0
28.84,5.0,B,907.06,No,4,50.27,1
31.89,45.0,B,943.1,Yes,4,8.32,0
30.73,3.0,B,,No,2,63.62,0
34.76,12.0,A,963.68,Yes,3,1.84,1
26.09,33.0,C,1252.94,No,2,33.26,1
27.71,78.0,C,1141.8,No,9,31.6,1
32.44,43.0,C,1098.16,Yes,7,18.43,1
23.68,23.0,C,887.08,No,5,6.5,0
26.73,95.0,B,1281.54,No,4,0.12,0
37.45,20.0,C,769.75,No,3,4.56,0
28.12,8.0,C,618.65,No,2,4.09,0
21.93,86.0,C,1072.05,No,5,12.99,0
28.47,26.0,C,1335.08,Yes,3,46.12,0
29.78,42.0,A,546.19,Yes,6,4.53,1
,52.0,B,984.72,No,7,25.24,1
27.65,70.0,A,,No,8,,1
30.92,75.0,C,1299.5,No,8,55.11,0
25.46,90.0,A,778.14,Yes,1,7.08,0
22.13,12.0,B,751.3,No,5,1.13,0
31.93,83.0,B,1148.27,Yes,9,13.68,1
30.04,7.0,A,400.0,Yes,9,3.06,1
29.69,45.0,B,790.54,Yes,6,12.89,1
32.1,10.0,A,979.91,No,1,19.3,0
32.22,38.0,B,1050.42,Yes,8,6.97,0
31.37,40.0,A,940.16,No,8,5.23,0
29.82,78.0,C,807.61,Yes,9,1.1,1
27.26,95.0,A,966.22,No,4,7.42,1
30.49,72.0,A,1212.6,No,4,2.19,0
27.72,16.0,A,598.53,Yes,4,42.44,0
23.67,44.0,A,1132.19,No,5,0.94,0
40.12,97.0,B,931.59,Yes,3,93.94,0
26.57,11.0,A,568.93,Yes,9,18.79,1
35.06,63.0,A,644.59,Yes,9,30.83,1
21.97,37.0,B,1242.5,Yes,1,5.37,1
29.25,97.0,C,1161.27,Yes,2,6.85,0
32.79,36.0,C,282.44,No,2,15.55,0
29.26,55.0,C,747.79,No,9,29.68,1
32.98,38.0,C,909.83,Yes,6,0.65,1
26.61,71.0,A,1007.49,No,5,32.53,1
28.87,45.0,C,1417.46,Yes,3,1.48,0
32.22,87.0,B,,Yes,7,8.76,0
25.01,76.0,A,865.51,Yes,8,14.27,0
29.91,58.0,B,715.78,Yes,7,40.01,0
26.84,91.0,A,1029.89,No,6,22.86,0
37.39,0.0,C,1114.38,Yes,6,10.92,1
,93.0,A,839.56,No,6,,0
47.14,89.0,C,855.02,Yes,8,40.49,1
33.18,1.0,A,,Yes,8,5.8,0
35.62,78.0,B,1468.6,No,5,2.08,1
26.61,67.0,B,1120.48,Yes,4,,1
29.95,31.0,B,1122.33,Yes,7,46.47,1
35.8,71.0,B,676.96,Yes,2,16.85,0
26.8,50.0,A,487.93,Yes,5,,0
29.66,12.0,C,1009.04,No,4,2.25,0
25.92,44.0,B,845.08,No,2,72.19,1
29.05,80.0,A,1133.37,Yes,1,11.92,1
21.84,72.0,A,590.54,Yes,8,,1
35.06,42.0,B,584.39,No,8,0.24,0
23.1,25.0,A,903.01,No,5,0.2,0
28.18,98.0,C,909.62,No,4,81.88,0
26.39,93.0,C,1026.79,Yes,9,30.73,1
32.0,94.0,C,801.71,Yes,5,27.29,1
26.37,29.0,C,1257.75,Yes,3,,0
28.35,43.0,B,954.7,No,2,22.42,1
28.57,9.0,B,965.11,Yes,1,28.78,0
25.16,24.0,A,1221.29,No,6,10.98,1
39.78,44.0,B,957.69,Yes,8,0.49,0
25.49,95.0,A,889.27,No,6,10.42,0
